Numéro du Club;Numéro Ligue;Numéro Département;Nom du Club;;nt - Nom du Club (n° FFAM  Numéro du Club)
63;LAMPL;DEPT049;AERO MODELE CLUB ANJOU;;49 - AERO MODELE CLUB ANJOU (FFAM n° 63)
88;LAMPL;CDAM053;AERO MODEL CLUB DE LA MAYENNE;;53 - AERO MODEL CLUB DE LA MAYENNE (FFAM n° 88)
94;LAMPL;CDAM044;PRESQU ILE AEROMODELISME;;44 - PRESQU ILE AEROMODELISME (FFAM n° 94)
114;LAMPL;CDAM044;CLUB DE MODELISME GETIGNOIS;;44 - CLUB DE MODELISME GETIGNOIS (FFAM n° 114)
133;LAMPL;CDAM053;CLUB AEROMODELISTE DE MAYENNE;;53 - CLUB AEROMODELISTE DE MAYENNE (FFAM n° 133)
140;LAMPL;DEPT072;CONDOR CLUB TENNIE (CCT);;72 - CONDOR CLUB TENNIE (CCT) (FFAM n° 140)
145;LAMPL;DEPT085;CLUB DE MODELISME DE MONTAIGU;;85 - CLUB DE MODELISME DE MONTAIGU (FFAM n° 145)
179;LAMPL;DEPT072;LES AILES DU MAINE AEROMODELISME;;72 - LES AILES DU MAINE AEROMODELISME (FFAM n° 179)
200;LAMPL;DEPT085;CLUB MODELISTE LUCONNAIS;;85 - CLUB MODELISTE LUCONNAIS (FFAM n° 200)
211;LAMPL;DEPT049;L AEROMODELE CLUB DU CHOLETAIS;;49 - L AEROMODELE CLUB DU CHOLETAIS (FFAM n° 211)
262;LAMPL;DEPT085;AEROMODELISME SABLAIS;;85 - AEROMODELISME SABLAIS (FFAM n° 262)
284;LAMPL;DEPT085;AERO CLUB POUZAUGEAIS;;85 - AERO CLUB POUZAUGEAIS (FFAM n° 284)
304;LAMPL;DEPT085;ACY MODELISME;;85 - ACY MODELISME (FFAM n° 304)
360;LAMPL;DEPT049;CLUB MODELE. REDUIT SAUMUROIS;;49 - CLUB MODELE. REDUIT SAUMUROIS (FFAM n° 360)
390;LAMPL;CDAM044;AMC DE MONTOIR DE BRETAGNE;;44 - AMC DE MONTOIR DE BRETAGNE (FFAM n° 390)
425;LAMPL;CDAM044;LES AILES DU VAL DE LOIRE;;44 - LES AILES DU VAL DE LOIRE (FFAM n° 425)
536;LAMPL;DEPT072;LES COUCOUS DU VAL DE LOIR (LCVL);;72 - LES COUCOUS DU VAL DE LOIR (LCVL) (FFAM n° 536)
545;LAMPL;CDAM044;AERO MODEL CLUB DE L'OUEST;;44 - AERO MODEL CLUB DE L'OUEST (FFAM n° 545)
552;LAMPL;CDAM044;CLUB AERO-MOD. DU PAYS DE VILAINE;;44 - CLUB AERO-MOD. DU PAYS DE VILAINE (FFAM n° 552)
644;LAMPL;CDAM044;ACRO MODELES 44;;44 - ACRO MODELES 44 (FFAM n° 644)
655;LAMPL;DEPT072;RADIO MODELE CLUB DE LA FLECHE;;72 - RADIO MODELE CLUB DE LA FLECHE (FFAM n° 655)
661;LAMPL;DEPT072;CLUB DE MODELISME SABOLIEN;;72 - CLUB DE MODELISME SABOLIEN (FFAM n° 661)
